,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close
16-Feb-00,218.25,218.25,218.25,218.25
15-Feb-00,216,216,216,216
14-Feb-00,215.25,215.25,215.25,215.25
11-Feb-00,213.75,213.75,213.75,213.75
10-Feb-00,211.75,211.75,211.75,211.75
9-Feb-00,217.5,217.5,217.5,217.5
8-Feb-00,218.25,218.25,218.25,218.25
7-Feb-00,223,223,223,223
4-Feb-00,221.5,221.5,221.5,221.5
3-Feb-00,221.75,221.75,221.75,221.75
2-Feb-00,217.25,217.25,217.25,217.25
1-Feb-00,217.75,217.75,217.75,217.75
31-Jan-00,215.25,215.25,215.25,215.25
28-Jan-00,214.25,214.25,214.25,214.25
27-Jan-00,217.5,217.5,217.5,217.5
26-Jan-00,221.5,221.5,221.5,221.5
25-Jan-00,220.25,220.25,220.25,220.25
24-Jan-00,219.25,219.25,219.25,219.25
21-Jan-00,225.75,225.75,225.75,225.75
20-Jan-00,219.25,219.25,219.25,219.25
19-Jan-00,216.5,216.5,216.5,216.5
18-Jan-00,216.5,216.5,216.5,216.5
17-Jan-00,215,215,215,215
14-Jan-00,208.75,208.75,208.75,208.75
13-Jan-00,203.5,203.5,203.5,203.5
12-Jan-00,200,200,200,200
11-Jan-00,198.25,198.25,198.25,198.25
10-Jan-00,193,193,193,193
7-Jan-00,199.75,199.75,199.75,199.75
6-Jan-00,205,205,205,205
5-Jan-00,205.25,205.25,205.25,205.25
4-Jan-00,204.5,204.5,204.5,204.5
3-Jan-00,207.42,207.42,207.42,207.42
