Date,Open,High,Low,Close,Volume,Adj. Close*
16-Aug-02,3031.24,3070.86,3031.24,3065.9,0,3065.9
14-Aug-02,3032.99,3037.37,3013.16,3020.7,0,3020.7
13-Aug-02,3009.48,3066.7,3009.48,3036.4,0,3036.4
12-Aug-02,2972.59,3014.3,2972.59,3007.85,0,3007.85
9-Aug-02,2974.68,2982.51,2931.78,2976.34,0,2976.34
8-Aug-02,3014.68,3019.49,2945.5,2950.09,0,2950.09
7-Aug-02,3042.28,3055.22,3004.12,3009.48,0,3009.48
6-Aug-02,2997.96,3026.98,2981.51,3023.26,0,3023.26
5-Aug-02,2996.89,3018.71,2980.49,3011.35,0,3011.35
2-Aug-02,2960.48,2992.19,2933.39,2985.01,0,2985.01
1-Aug-02,2998.46,3018.52,2965.97,2975.81,0,2975.81
31-Jul-02,2981.05,2998.34,2932.35,2987.65,0,2987.65
30-Jul-02,3043.23,3080.7,2983.1,2990.91,0,2990.91
29-Jul-02,3039.56,3039.56,2955.1,3030.06,0,3030.06
26-Jul-02,3079.33,3084.34,3011.89,3024.35,0,3024.35
25-Jul-02,3149.18,3169.96,3091.33,3094.96,0,3094.96
24-Jul-02,3163.45,3167.6,3105.2,3107.48,0,3107.48
23-Jul-02,3142.48,3179.08,3135.39,3176.93,0,3176.93
22-Jul-02,3212.83,3212.83,3147.37,3153.34,0,3153.34
19-Jul-02,3239.66,3250.59,3227.27,3230.27,0,3230.27
18-Jul-02,3224.23,3253.4,3215.33,3245.74,0,3245.74
17-Jul-02,3232.39,3236.68,3192.67,3216.07,0,3216.07
16-Jul-02,3279.5,3286.94,3224.35,3229.18,0,3229.18
15-Jul-02,3302.64,3305.85,3258.72,3278.71,0,3278.71
12-Jul-02,3296.3,3318.33,3293.66,3305.83,0,3305.83
11-Jul-02,3332.15,3332.15,3287.91,3290.56,0,3290.56
10-Jul-02,3359.47,3366.74,3328.2,3332.36,0,3332.36
9-Jul-02,3356.85,3361.92,3343.1,3358.58,0,3358.58
8-Jul-02,3336.14,3366.72,3332.12,3357.66,0,3357.66
5-Jul-02,3322.14,3334.87,3309.61,3330.61,0,3330.61
4-Jul-02,3322.31,3337.69,3313.74,3316.77,0,3316.77
3-Jul-02,3283.03,3314.23,3279.83,3310.19,0,3310.19
2-Jul-02,3276.21,3296.87,3274.03,3285.04,0,3285.04
1-Jul-02,3246.44,3293.21,3246.44,3288.71,0,3288.71
28-Jun-02,3231.24,3252.65,3222.09,3244.7,0,3244.7
27-Jun-02,3199.03,3221.6,3189.96,3217.15,0,3217.15
26-Jun-02,3214.34,3214.34,3180.89,3180.89,0,3180.89
25-Jun-02,3226.21,3244.33,3193.68,3214.34,0,3214.34
24-Jun-02,3238.37,3238.37,3210.95,3231.62,0,3231.62
21-Jun-02,3268.1,3268.1,3232.66,3242.75,0,3242.75
20-Jun-02,3223.47,3276.06,3223.47,3264.02,0,3264.02
19-Jun-02,3284.32,3306.11,3222.23,3242.26,0,3242.26
18-Jun-02,3337.32,3361.73,3282.32,3284.54,0,3284.54
17-Jun-02,3350.03,3350.44,3318.7,3323.5,0,3323.5
14-Jun-02,3312.05,3321.92,3295.64,3312.07,0,3312.07
13-Jun-02,3358.97,3369.63,3307.16,3311.16,0,3311.16
